gene_name,paste_into_igv_junction,junc_cat,baseline_PSI,contrast_PSI,comparison,strand,is_cryptic,n_significant_data
MPP2,chr17:43883355-43884084,annotated,0.0468,0.2685,Ferguson-HeLA,-,TRUE,4
UHRF1BP1L,chr12:100083134-100086275,annotated,0.0222,0.2612,Ferguson-HeLA,-,TRUE,1
UHRF1BP1L,chr12:100083134-100086275,annotated,0.0126,0.1616,Ferguson-HeLA,-,TRUE,1
ADGRG6,chr6:142382019-142390258,annotated,0.0046,0.1818,Ferguson-HeLA,+,TRUE,1
TRIM23,chr5:65611707-65614098,novel_acceptor,0.024,0.1974,Ferguson-HeLA,-,TRUE,1
TRIM23,chr5:65611707-65614098,novel_acceptor,0.0227,0.1952,Ferguson-HeLA,-,TRUE,1
B4GALT2,chr1:43979511-43984865,novel_exon_skip,2e-04,0.1267,Ferguson-HeLA,+,TRUE,1
B4GALT2,chr1:43980615-43981108,none,0.0174,0.1004,Ferguson-HeLA,+,TRUE,3
B4GALT2,chr1:43979511-43984865,novel_exon_skip,3e-04,0.123,Ferguson-HeLA,+,TRUE,1
TMEM175,chr4:932540-951207,novel_exon_skip,0.0076,0.3646,Ferguson-HeLA,+,TRUE,5
TMEM175,chr4:932540-951207,novel_exon_skip,0.0126,0.4392,Ferguson-HeLA,+,TRUE,5
MPST,chr22:37019774-37023752,annotated,0.0397,0.2048,Ferguson-HeLA,+,TRUE,1
MEIS2,chr15:37096430-37097934,novel_donor,0.0089,0.3888,Ferguson-HeLA,-,TRUE,5
MEIS2,chr15:37095614-37099455,novel_exon_skip,0.0237,0.1799,Ferguson-HeLA,-,TRUE,2
MEIS2,chr15:37095614-37099455,novel_exon_skip,0.0107,0.104,Ferguson-HeLA,-,TRUE,2
MEIS2,chr15:37096430-37097934,novel_donor,0.01,0.4474,Ferguson-HeLA,-,TRUE,5
RAB20,chr13:110542022-110561348,novel_acceptor,0.011,0.3073,Ferguson-HeLA,-,TRUE,1
RAB20,chr13:110524197-110541889,novel_donor,0.0188,0.3827,Ferguson-HeLA,-,TRUE,1
USP3,chr15:63588423-63588533,novel_acceptor,0.0132,0.1653,Ferguson-HeLA,+,TRUE,2
USP3,chr15:63588424-63588519,none,0.0461,0.1683,Ferguson-HeLA,+,TRUE,4
PTPRF,chr1:43592601-43598720,annotated,0.0486,0.1757,Ferguson-HeLA,+,TRUE,2
FGFR2,chr10:121551459-121593709,annotated,0.031,0.1157,Ferguson-HeLA,-,TRUE,1
ASAP3,chr1:23438834-23441102,annotated,0.017,0.1634,Ferguson-HeLA,-,TRUE,1
NUP188,chr9:128947751-128948502,novel_acceptor,0.0251,0.2757,Ferguson-HeLA,+,TRUE,1
NUP188,chr9:128952846-128956141,ambig_gene,6e-04,0.9967,Ferguson-HeLA,+,TRUE,5
NUP188,chr9:128948628-128949189,annotated,0.0296,0.2324,Ferguson-HeLA,+,TRUE,1
NUP188,chr9:128956174-128956350,ambig_gene,0.0015,0.7602,Ferguson-HeLA,+,TRUE,5
NUP188,chr9:128956182-128956350,ambig_gene,4e-04,0.2376,Ferguson-HeLA,+,TRUE,1
ITPR3,chr6:33686536-33687009,novel_donor,0.0092,0.2555,Ferguson-HeLA,+,TRUE,1
BCL2L13,chr22:17702386-17722274,novel_acceptor,0.0014,0.1882,Ferguson-HeLA,+,TRUE,6
BCL2L13,chr22:17722390-17726691,none,0.0036,0.2293,Ferguson-HeLA,+,TRUE,5
ABCD1,chrX:153740237-153740305,novel_acceptor,0.0084,0.1938,Ferguson-HeLA,+,TRUE,3
MADD,chr11:47325032-47326738,novel_donor,0.0051,0.1648,Ferguson-HeLA,+,TRUE,4
MADD,chr11:47325032-47326738,novel_donor,0.0069,0.3087,Ferguson-HeLA,+,TRUE,4
KYNU,chr2:142960770-142964653,annotated,0.0172,0.1384,Ferguson-HeLA,+,TRUE,1
TRAF3,chr14:102876525-102878240,novel_acceptor,0.001,0.2824,Ferguson-HeLA,+,TRUE,3
TRAF3,chr14:102878329-102886189,novel_donor,0.0062,0.307,Ferguson-HeLA,+,TRUE,1
CDK7,chr5:69261458-69262205,novel_donor,0.0029,0.1182,Ferguson-HeLA,+,TRUE,5
CIDEB,chr14:24305867-24309988,none,0.0342,0.1777,Ferguson-HeLA,-,TRUE,1
SLC38A6,chr14:61046167-61048151,annotated,0.0297,0.1725,Ferguson-HeLA,+,TRUE,1
PHLDB2,chr3:111954029-111958275,annotated,0.028,0.1388,Ferguson-HeLA,+,TRUE,1
ZNF195,chr11:3363391-3370975,annotated,0.035,0.1404,Ferguson-HeLA,-,TRUE,2
ALDH3B1,chr11:68015459-68018092,novel_acceptor,0.0073,0.2618,Ferguson-HeLA,+,TRUE,1
MATK,chr19:3785286-3785613,annotated,0.0319,0.1544,Ferguson-HeLA,-,TRUE,1
MATK,chr19:3785287-3785612,none,0.0142,0.1167,Ferguson-HeLA,-,TRUE,1
CD44,chr11:35190065-35211246,annotated,0.0261,0.1525,Ferguson-HeLA,+,TRUE,1
BRD9,chr5:850602-860544,novel_donor,0.0269,0.1955,Ferguson-HeLA,-,TRUE,1
BRD9,chr5:881182-883355,novel_donor,0.0372,0.1164,Ferguson-HeLA,-,TRUE,1
RRAGB,chrX:55755206-55755841,novel_donor,0.0268,0.2118,Ferguson-HeLA,+,TRUE,1
G2E3,chr14:30559272-30563746,novel_acceptor,0.0131,0.5157,Ferguson-HeLA,+,TRUE,5
PLEKHA1,chr10:122427031-122428082,novel_acceptor,0.0011,0.218,Ferguson-HeLA,+,TRUE,1
PLEKHA1,chr10:122428088-122429624,novel_donor,7e-04,0.1117,Ferguson-HeLA,+,TRUE,1
PLEKHA1,chr10:122428346-122429624,novel_donor,0.0175,0.1094,Ferguson-HeLA,+,TRUE,1
PLEKHA1,chr10:122428420-122429624,annotated,0.0283,0.1767,Ferguson-HeLA,+,TRUE,2
PLEKHA1,chr10:122428421-122429623,none,0.0399,0.1064,Ferguson-HeLA,+,TRUE,1
POLK,chr5:75590440-75593966,annotated,0.0457,0.1188,Ferguson-HeLA,+,TRUE,1
POLM,chr7:44074522-44076509,annotated,0.0328,0.1659,Ferguson-HeLA,-,TRUE,1
MGAT1,chr5:180809076-180809795,novel_donor,6e-04,0.2718,Ferguson-HeLA,-,TRUE,4
TTYH3,chr7:2656534-2661668,novel_exon_skip,0.0238,0.1497,Ferguson-HeLA,+,TRUE,1
OBSCN,chr1:228298717-228303675,novel_exon_skip,0.0189,0.189,Ferguson-HeLA,+,TRUE,2
OBSCN,chr1:228298717-228303675,novel_exon_skip,0.0329,0.2662,Ferguson-HeLA,+,TRUE,2
CNST,chr1:246634587-246647139,novel_exon_skip,0.014,0.2965,Ferguson-HeLA,+,TRUE,4
CNST,chr1:246634587-246647139,novel_exon_skip,0.0116,0.2842,Ferguson-HeLA,+,TRUE,4
IFT122,chr3:129483682-129483926,novel_acceptor,0.0027,0.6653,Ferguson-HeLA,+,TRUE,3
IFT122,chr3:129483682-129483971,novel_acceptor,0.0027,0.1582,Ferguson-HeLA,+,TRUE,1
GPT2,chr16:46900883-46906842,novel_donor,0.0407,0.3609,Ferguson-HeLA,+,TRUE,3
SETD5,chr3:9468615-9470459,novel_donor,0.0168,0.5631,Ferguson-HeLA,+,TRUE,7
SETD5,chr3:9468615-9470459,novel_donor,0.0037,0.3603,Ferguson-HeLA,+,TRUE,7
FAM114A2,chr5:154037455-154038857,novel_acceptor,0.0015,0.1937,Ferguson-HeLA,-,TRUE,2
FAM114A2,chr5:154034967-154037438,novel_donor,6e-04,0.3582,Ferguson-HeLA,-,TRUE,2
GOLGA3,chr12:132786192-132786339,novel_acceptor,0.0339,0.1063,Ferguson-HeLA,-,TRUE,1
HDAC6,chrX:48818109-48822620,annotated,0.0039,0.251,Ferguson-HeLA,+,TRUE,2
HDAC6,chrX:48818109-48822620,annotated,0.0032,0.307,Ferguson-HeLA,+,TRUE,2
PALM,chr19:734194-746285,novel_exon_skip,0.0335,0.1686,Ferguson-HeLA,+,TRUE,1
PALM,chr19:734194-746285,novel_exon_skip,0.0459,0.206,Ferguson-HeLA,+,TRUE,1
PAPLN,chr14:73264335-73264556,annotated,0.0244,0.2188,Ferguson-HeLA,+,TRUE,1
ARHGAP5,chr14:32077435-32117140,novel_exon_skip,0.0484,0.1272,Ferguson-HeLA,+,TRUE,1
PIEZO1,chr16:88735536-88736148,novel_acceptor,0.001,0.1299,Ferguson-HeLA,-,TRUE,1
PPP1R13L,chr19:45393840-45395436,novel_acceptor,0.0314,0.1311,Ferguson-HeLA,-,TRUE,1
FAM120B,chr6:170348323-170388287,novel_exon_skip,0.0376,0.1656,Ferguson-HeLA,+,TRUE,1
CEP72,chr5:648986-652988,novel_donor,0.0299,0.2899,Ferguson-HeLA,+,TRUE,2
SLC25A16,chr10:68517185-68527246,annotated,0.0155,0.1295,Ferguson-HeLA,-,TRUE,1
IRF1,chr5:132484497-132486557,annotated,0.0476,0.1124,Ferguson-HeLA,-,TRUE,1
BORCS5,chr12:12465293-12465546,novel_donor,0.0363,0.2169,Ferguson-HeLA,+,TRUE,1
VEZT,chr12:95224236-95242164,novel_combo,0.0182,0.1651,Ferguson-HeLA,+,TRUE,1
TRIO,chr5:14489069-14492567,annotated,0.0492,0.2694,Ferguson-HeLA,+,TRUE,2
WDR37,chr10:1095829-1096170,novel_donor,0.0034,0.1329,Ferguson-HeLA,+,TRUE,3
PFKP,chr10:3099352-3099557,novel_acceptor,0.0076,0.9364,Ferguson-HeLA,+,TRUE,8
PFKP,chr10:3113518-3116479,novel_acceptor,0.0068,0.1667,Ferguson-HeLA,+,TRUE,1
PFKP,chr10:3099819-3101365,novel_donor,0.0014,0.9519,Ferguson-HeLA,+,TRUE,8
PFKP,chr10:3125249-3129819,annotated,0.0082,0.127,Ferguson-HeLA,+,TRUE,1
AARS1,chr16:70272882-70276486,novel_acceptor,0.0033,0.2008,Ferguson-HeLA,-,TRUE,5
AARS1,chr16:70271972-70272796,novel_donor,0.0046,0.211,Ferguson-HeLA,-,TRUE,5
IQCE,chr7:2559217-2562526,novel_acceptor,0.0232,0.1798,Ferguson-HeLA,+,TRUE,3
IQCE,chr7:2559217-2564878,novel_acceptor,0.0011,0.4903,Ferguson-HeLA,+,TRUE,5
IQCE,chr7:2565071-2567116,novel_donor,0.0152,0.6993,Ferguson-HeLA,+,TRUE,5
GPSM2,chr1:108885578-108896317,novel_acceptor,0.0096,0.5838,Ferguson-HeLA,+,TRUE,6
GPSM2,chr1:108896431-108896864,novel_donor,0.0225,0.7299,Ferguson-HeLA,+,TRUE,7
NR4A1,chr12:52057259-52058688,novel_exon_skip,0.0107,0.1391,Ferguson-HeLA,+,TRUE,1
ENKD1,chr16:67664513-67664952,none,0.0481,0.1008,Ferguson-HeLA,-,TRUE,1
AHNAK,chr11:62528041-62528426,none,0.0011,0.5506,Ferguson-HeLA,-,TRUE,1
TUBGCP6,chr22:50229577-50240204,novel_exon_skip,0.0037,0.1649,Ferguson-HeLA,-,TRUE,2
TUBGCP6,chr22:50229577-50240204,novel_exon_skip,0.0071,0.157,Ferguson-HeLA,-,TRUE,2
PATJ,chr1:61823079-61824445,novel_acceptor,0.0204,0.155,Ferguson-HeLA,+,TRUE,3
ANP32E,chr1:150231926-150236076,novel_combo,0.0032,0.1452,Ferguson-HeLA,-,TRUE,1
UPF2,chr10:11921307-11926922,novel_donor,0.0239,0.222,Ferguson-HeLA,-,TRUE,5
GPATCH11,chr2:37084586-37088369,novel_donor,0.0039,0.151,Ferguson-HeLA,+,TRUE,1
RPGR,chrX:38318987-38320498,novel_donor,0.0077,0.2088,Ferguson-HeLA,-,TRUE,2
ZER1,chr9:128753959-128771581,annotated,0.0392,0.392,Ferguson-HeLA,-,TRUE,1
ZER1,chr9:128753959-128771581,annotated,0.025,0.1791,Ferguson-HeLA,-,TRUE,1
HDGFL2,chr19:4491835-4492015,novel_acceptor,3e-04,0.1231,Ferguson-HeLA,+,TRUE,7
HDGFL2,chr19:4492152-4493703,novel_donor,0.0019,0.1699,Ferguson-HeLA,+,TRUE,6
DHRSX,chrX:2221229-2224470,novel_donor,0.0041,0.1337,Ferguson-HeLA,-,TRUE,1
CTDP1,chr18:79729069-79753652,annotated,0.016,0.2028,Ferguson-HeLA,+,TRUE,4
RAP1GAP,chr1:21598820-21599494,novel_acceptor,0.0037,0.2131,Ferguson-HeLA,-,TRUE,5
ALG13,chrX:111730580-111735090,novel_acceptor,0.002,0.1465,Ferguson-HeLA,+,TRUE,1
ALG13,chrX:111730580-111735090,novel_acceptor,0.002,0.1234,Ferguson-HeLA,+,TRUE,1
PRKAR1A,chr17:68512978-68515394,annotated,0.0171,0.1438,Ferguson-HeLA,+,TRUE,1
HAUS2,chr15:42563857-42565446,novel_acceptor,0.0028,0.1464,Ferguson-HeLA,+,TRUE,3
HAUS2,chr15:42563858-42565445,none,0.0074,0.1103,Ferguson-HeLA,+,TRUE,1
HAUS2,chr15:42566218-42566606,none,0.007,0.1037,Ferguson-HeLA,+,TRUE,1
ZSCAN32,chr16:3399195-3400945,novel_acceptor,0.0421,0.1042,Ferguson-HeLA,-,TRUE,1
TAF4B,chr18:26295314-26315229,annotated,0.0173,0.2372,Ferguson-HeLA,+,TRUE,1
CIZ1,chr9:128162947-128166257,annotated,0.0489,0.2234,Ferguson-HeLA,-,TRUE,1
DLG5,chr10:77793235-77794008,novel_acceptor,0.0082,0.2169,Ferguson-HeLA,-,TRUE,2
DLG5,chr10:77793236-77793543,none,0.0285,0.3202,Ferguson-HeLA,-,TRUE,5
DLG5,chr10:77792543-77793165,novel_donor,0.0111,0.2077,Ferguson-HeLA,-,TRUE,1
DLG5,chr10:77792544-77793164,none,0.0285,0.3194,Ferguson-HeLA,-,TRUE,5
LRP8,chr1:53245981-53246924,annotated,0.0287,0.1062,Ferguson-HeLA,-,TRUE,2
KDM1B,chr6:18213782-18215006,none,0.0018,0.1343,Ferguson-HeLA,+,TRUE,5
MGAT5B,chr17:76937368-76937988,novel_donor,0.0191,0.7768,Ferguson-HeLA,+,TRUE,7
NPLOC4,chr17:81564247-81564908,none,0.0441,0.1978,Ferguson-HeLA,-,TRUE,2
NPLOC4,chr17:81559416-81563921,annotated,0.0404,0.2839,Ferguson-HeLA,-,TRUE,5
ARID4B,chr1:235196115-235219793,annotated,0.0248,0.1759,Ferguson-HeLA,-,TRUE,1
ARID4B,chr1:235196115-235219793,annotated,0.0187,0.1703,Ferguson-HeLA,-,TRUE,1
NFATC3,chr16:68085916-68121987,annotated,0.0218,0.1933,Ferguson-HeLA,+,TRUE,1
TNS1,chr2:217978802-217986779,novel_donor,0.0243,0.2049,Ferguson-HeLA,-,TRUE,4
MAEA,chr4:1315600-1327627,annotated,0.0299,0.1586,Ferguson-HeLA,+,TRUE,1
MAEA,chr4:1322503-1332757,annotated,0.0401,0.2301,Ferguson-HeLA,+,TRUE,1
MAEA,chr4:1315600-1327627,annotated,0.0379,0.2299,Ferguson-HeLA,+,TRUE,1
MAEA,chr4:1322503-1332757,annotated,0.0276,0.125,Ferguson-HeLA,+,TRUE,1
JOSD1,chr22:38700618-38700800,annotated,0.0481,0.1242,Ferguson-HeLA,-,TRUE,1
NINL,chr20:25491525-25503952,novel_exon_skip,0.0287,0.1398,Ferguson-HeLA,-,TRUE,2
CEP152,chr15:48796160-48797661,annotated,0.0046,0.2063,Ferguson-HeLA,-,TRUE,2
CEP152,chr15:48796160-48797661,annotated,0.0036,0.1424,Ferguson-HeLA,-,TRUE,2
WASL,chr7:123684580-123692347,novel_exon_skip,0.0093,0.4527,Ferguson-HeLA,-,TRUE,8
WASL,chr7:123684580-123692347,novel_exon_skip,0.0115,0.5871,Ferguson-HeLA,-,TRUE,8
WASL,chr7:123684580-123688997,novel_donor,0.006,0.1608,Ferguson-HeLA,-,TRUE,2
PTPN6,chr12:6946739-6951983,annotated,0.021,0.1554,Ferguson-HeLA,+,TRUE,1
MED23,chr6:131586937-131587709,annotated,0.0261,0.1787,Ferguson-HeLA,-,TRUE,1
CCDC77,chr12:422508-428769,novel_donor,0.0444,0.1863,Ferguson-HeLA,+,TRUE,2
KRT7,chr12:52237717-52238680,annotated,0.0281,0.6754,Ferguson-HeLA,+,TRUE,2
LHFPL2,chr5:78647574-78648499,novel_acceptor,0.0355,0.2053,Ferguson-HeLA,-,TRUE,2
LHFPL2,chr5:78489153-78564813,novel_exon_skip,0.0265,0.1205,Ferguson-HeLA,-,TRUE,1
ZNF761,chr19:53449638-53449883,annotated,0.0265,0.1183,Ferguson-HeLA,+,TRUE,1
FGFR4,chr5:177089940-177090390,annotated,0.0026,0.2713,Ferguson-HeLA,+,TRUE,1
PLXNB1,chr3:48411036-48411824,novel_donor,0.0014,0.121,Ferguson-HeLA,-,TRUE,1
TRRAP,chr7:98881736-98881975,novel_donor,0.0038,0.1409,Ferguson-HeLA,+,TRUE,5
AMZ2,chr17:68206238-68248640,annotated,0.0417,0.1039,Ferguson-HeLA,+,TRUE,1
PHF2,chr9:93660560-93661348,novel_acceptor,0.0031,0.7301,Ferguson-HeLA,+,TRUE,5
PHF2,chr9:93660561-93661319,none,0.0031,0.1871,Ferguson-HeLA,+,TRUE,3
PHF2,chr9:93661647-93662906,none,0.0031,0.6561,Ferguson-HeLA,+,TRUE,3
TRAPPC12,chr2:3458515-3460263,novel_donor,0.0031,0.9214,Ferguson-HeLA,+,TRUE,9
NPIPA1,chr16:14935397-14937374,ambig_gene,0.001,0.1364,Ferguson-HeLA,+,TRUE,1
SCFD2,chr4:53143787-53145333,novel_acceptor,0.0098,0.2589,Ferguson-HeLA,-,TRUE,4
ZFP91,chr11:58616815-58616993,ambig_gene,0.0071,0.4089,Ferguson-HeLA,+,TRUE,2
ZFP91,chr11:58617054-58617196,ambig_gene,0.0108,0.402,Ferguson-HeLA,+,TRUE,2
MBP,chr18:77054925-77066298,novel_acceptor,0.0187,0.1873,Ferguson-HeLA,-,TRUE,1
RP1-283E3.8,chr1:1709640-1719358,ambig_gene,0.0027,0.1338,Ferguson-HeLA,-,TRUE,8
TCEA2,chr20:64063384-64063918,novel_acceptor,0.0165,0.1543,Ferguson-HeLA,+,TRUE,1
NADSYN1,chr11:71484448-71485541,none,0.015,0.1744,Ferguson-HeLA,+,TRUE,4
SLC26A11,chr17:80220496-80236928,annotated,0.0023,0.1305,Ferguson-HeLA,+,TRUE,1
FADS3,chr11:61878848-61879311,none,0.0324,0.2611,Ferguson-HeLA,-,TRUE,4
RP11-206L10.2,chr1:732207-733307,ambig_gene,0.0047,0.1772,Ferguson-HeLA,-,TRUE,1
RP11-206L10.2,chr1:729804-733307,annotated,0.0394,0.1254,Ferguson-HeLA,-,TRUE,1
MHENCR,chr20:63627392-63628245,novel_acceptor,0.0372,0.1815,Ferguson-HeLA,+,TRUE,1
TRPT1,chr11:64225869-64226062,novel_donor,0.0212,0.1833,Ferguson-HeLA,-,TRUE,1
ETS2,chr21:38806808-38810035,annotated,0.0434,0.3846,Ferguson-HeLA,+,TRUE,4
KIAA1841,chr2:61088468-61090479,novel_acceptor,0.0063,0.1481,Ferguson-HeLA,+,TRUE,2
ACSF2,chr17:50461686-50461820,novel_acceptor,0.01,0.8552,Ferguson-HeLA,+,TRUE,2
ACSF2,chr17:50461885-50462184,novel_donor,0.0231,0.8656,Ferguson-HeLA,+,TRUE,2
PLCXD1,chrY:281684-283093,novel_acceptor,0.0411,0.4179,Ferguson-HeLA,+,TRUE,1
KIAA0753,chr17:6580975-6589779,novel_acceptor,0.048,0.7649,Ferguson-HeLA,-,TRUE,5
KIAA0753,chr17:6579864-6580932,novel_donor,0.0322,0.8631,Ferguson-HeLA,-,TRUE,5
LINC01010,chr6:134343359-134392167,novel_acceptor,0.0292,0.1882,Ferguson-HeLA,+,TRUE,1
TVP23C-CDRT4,chr17:15438200-15540433,ambig_gene,0.04,0.1047,Ferguson-HeLA,-,TRUE,1
SPTBN2,chr11:66721532-66727986,novel_donor,0.0182,0.104,Ferguson-HeLA,-,TRUE,1
MROH1,chr8:144241111-144241353,novel_acceptor,0.0056,0.1447,Ferguson-HeLA,+,TRUE,1
EHMT1,chr9:137778055-137790848,novel_exon_skip,0.0044,0.1008,Ferguson-HeLA,+,TRUE,2
EHMT1,chr9:137778055-137790848,novel_exon_skip,0.0039,0.1048,Ferguson-HeLA,+,TRUE,2
ADARB2,chr10:1376218-1379074,novel_acceptor,0.0078,0.3043,Ferguson-HeLA,-,TRUE,3
ADARB2,chr10:1376172-1379074,novel_acceptor,0.0015,0.1986,Ferguson-HeLA,-,TRUE,1
ADARB2,chr10:1645966-1737051,novel_acceptor,0.0194,0.2069,Ferguson-HeLA,-,TRUE,3
ADARB2,chr10:1363917-1376104,novel_donor,0.0012,0.1026,Ferguson-HeLA,-,TRUE,1
SDHAP3,chr5:1579507-1584984,novel_acceptor,0.0411,0.2227,Ferguson-HeLA,-,TRUE,1
DDX39B,chr6:31540534-31541396,annotated,0.023,0.1232,Ferguson-HeLA,-,TRUE,1
MSH5,chr6:31744581-31746142,annotated,0.0435,0.2088,Ferguson-HeLA,+,TRUE,2
TENM3,chr4:182743419-182751803,novel_acceptor,0.026,0.1704,Ferguson-HeLA,+,TRUE,1
TENM3,chr4:182743419-182751803,novel_acceptor,0.0254,0.1723,Ferguson-HeLA,+,TRUE,1
LINC01503,chr9:129337959-129338792,novel_donor,0.0027,0.7455,Ferguson-HeLA,+,TRUE,4
CENPS-CORT,chr1:10430568-10451377,ambig_gene,0.0035,0.1802,Ferguson-HeLA,+,TRUE,1
ZFP91-CNTF,chr11:58616815-58616993,ambig_gene,0.007,0.3833,Ferguson-HeLA,+,TRUE,2
ZFP91-CNTF,chr11:58617054-58617196,ambig_gene,0.0108,0.4005,Ferguson-HeLA,+,TRUE,2
RP4-583P15.15,chr20:63708979-63732003,none,0.0103,0.2222,Ferguson-HeLA,+,TRUE,1
RP4-583P15.15,chr20:63709164-63732003,ambig_gene,8e-04,0.4182,Ferguson-HeLA,+,TRUE,6
RP4-583P15.15,chr20:63732045-63733219,ambig_gene,0.0163,0.65,Ferguson-HeLA,+,TRUE,6
LMO1,chr11:8230504-8233975,novel_donor,0.0289,0.1774,Ferguson-HeLA,-,TRUE,1
DENND2B,chr11:8780251-8811247,novel_acceptor,0.0022,0.1117,Ferguson-HeLA,-,TRUE,2
DENND2B,chr11:8750725-8776192,annotated,0.0256,0.3547,Ferguson-HeLA,-,TRUE,5
MYO1A,chr12:57043358-57049887,annotated,0.0172,0.1634,Ferguson-HeLA,-,TRUE,1
ATF5,chr19:49931230-49932421,none,0.0497,0.2304,Ferguson-HeLA,+,TRUE,3
KRT8,chr12:52905027-52949456,annotated,0.0317,0.1137,Ferguson-HeLA,-,TRUE,1
PHYHD1,chr9:128937778-128940599,novel_exon_skip,0.0488,0.1155,Ferguson-HeLA,+,TRUE,1
HERC2P3,chr15:20439197-20439322,none,0.0052,0.2359,Ferguson-HeLA,-,TRUE,1
TXNRD2,chr22:19931095-19941701,annotated,0.0188,0.1728,Ferguson-HeLA,-,TRUE,1
TXNRD2,chr22:19931095-19941701,annotated,0.018,0.1765,Ferguson-HeLA,-,TRUE,1
ARL15,chr5:54171928-54242070,novel_donor,0.0039,0.2381,Ferguson-HeLA,-,TRUE,4
CPLANE1,chr5:37227817-37230662,annotated,0.0315,0.1579,Ferguson-HeLA,-,TRUE,1
ZKSCAN8,chr6:28148838-28149483,annotated,0.0424,0.1282,Ferguson-HeLA,+,TRUE,1
SEPTIN7P2,chr7:45728313-45735607,novel_donor,0.0466,0.5389,Ferguson-HeLA,-,TRUE,7
ETV5,chr3:186104572-186105305,novel_acceptor,0.0121,0.4076,Ferguson-HeLA,-,TRUE,4
RP11-509A17.3,chr15:20348414-20356388,none,0.0306,0.8776,Ferguson-HeLA,+,TRUE,1
RP11-509A17.3,chr15:20356586-20358874,novel_donor,0.0016,0.2569,Ferguson-HeLA,+,TRUE,1
RP11-509A17.3,chr15:20356726-20358874,novel_donor,0.0463,0.5563,Ferguson-HeLA,+,TRUE,1
ATG4B,chr2:241651336-241651883,none,0.0333,0.1011,Ferguson-HeLA,+,TRUE,1
ATG4B,chr2:241666839-241667811,none,0.0341,0.1301,Ferguson-HeLA,+,TRUE,1
ATG4B,chr2:241668985-241670726,novel_donor,0.001,0.6069,Ferguson-HeLA,+,TRUE,7
ATG4B,chr2:241669863-241670560,none,0.0357,0.3483,Ferguson-HeLA,+,TRUE,1
PPIP5K1,chr15:43554687-43558795,novel_acceptor,0.0158,0.2257,Ferguson-HeLA,-,TRUE,3
LRRC45,chr17:82026721-82026899,novel_donor,0.0037,0.1416,Ferguson-HeLA,+,TRUE,1
EP400,chr12:131992230-132005077,novel_exon_skip,0.0449,0.8833,Ferguson-HeLA,+,TRUE,10
